roadID	length	nodeID1	nodeID2	coords
18318	0.3389889455431422	40994	12896	-36.8749	174.72567	-36.87621	174.72592	-36.8766	174.7261	-36.87685	174.72625	-36.87767	174.72703
18318	0.12755854000149092	12896	13012	-36.87767	174.72703	-36.87855	174.72795
18318	0.31463536327454295	13012	13206	-36.87855	174.72795	-36.88074	174.73019
18318	0.055862507613662855	13206	13261	-36.88074	174.73019	-36.88114	174.73057
18318	0.19021829737790852	13261	13366	-36.88114	174.73057	-36.88153	174.73089	-36.88262	174.73164
18318	0.15667603981350828	13366	13451	-36.88262	174.73164	-36.88359	174.73216	-36.88387	174.73243
18318	0.13177918781551373	13451	13654	-36.88387	174.73243	-36.88402	174.73286	-36.88419	174.73385
18318	0.13528364510102184	13654	13813	-36.88419	174.73385	-36.8843	174.73449	-36.88447	174.73533
18318	0.2824456922032969	13813	14168	-36.88447	174.73533	-36.88512	174.7384
18264	0.23526556147219763	12649	12895	-36.86175	174.72508	-36.8602	174.72688
18263	0.0215917234373804	42721	12649	-36.86164	174.72488	-36.86175	174.72508
18263	0.06102876618787626	12649	12722	-36.86175	174.72508	-36.86203	174.72567
18263	0.09709188830948198	12722	38558	-36.86203	174.72567	-36.86218	174.72598	-36.86241	174.72665
18263	0.3025088226721003	38558	13178	-36.86241	174.72665	-36.86351	174.72976
18260	0.22308306733693323	12646	12896	-36.8776	174.72497	-36.87728	174.72529	-36.8778	174.72604	-36.87767	174.72703
18259	0.08128940004653384	32808	12646	-36.87713	174.72427	-36.8776	174.72497
18258	0.25295958667290114	12646	12862	-36.8776	174.72497	-36.87812	174.72567	-36.87928	174.72688
18257	0.11693950561256927	12645	12722	-36.86293	174.72499	-36.86203	174.72567
18234	0.1597344777291093	12109	12196	-36.88125	174.71875	-36.88014	174.71989
18234	0.09539582315688402	12196	12257	-36.88014	174.71989	-36.87949	174.72059
18234	0.06208927304680694	12257	12282	-36.87949	174.72059	-36.87907	174.72105
18234	0.048215607848593224	12282	12307	-36.87907	174.72105	-36.87872	174.72137
18234	0.11532068481361149	12307	12408	-36.87872	174.72137	-36.87793	174.72221
18234	0.0387451480791327	12408	12440	-36.87793	174.72221	-36.87767	174.7225
18234	0.3567691626439025	12440	40995	-36.87767	174.7225	-36.8752	174.72506
18234	0.06629844064379922	40995	40994	-36.8752	174.72506	-36.87503	174.72523	-36.87496	174.72538	-36.8749	174.72567
